T2025_08_12__152023_645,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_659,user,41,129,3,2.409,3.467,0.27,2,na,108,0,na,na,na,,,
T2025_08_12__152023_662,user,41,133,3,na,na,na,9065,-592,485,4179,na,na,na,na,na,na
T2025_08_12__152023_790,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_805,user,41,129,3,2.413,3.464,0.271,2,na,107,0,na,na,na,,,
T2025_08_12__152023_807,user,41,133,3,na,na,na,9063,-603,400,4172,na,na,na,na,na,na
T2025_08_12__152023_908,user,41,18,4,0,3.84,2.4,0,,,,,,,,,
T2025_08_12__152023_908,user,41,18,1,7.13,3.84,2.4,0,,,,,,,,,
T2025_08_12__152023_908,user,41,18,2,0,0.005,2.4,0,,,,,,,,,
T2025_08_12__152023_908,user,41,18,5,7.22,0.005,2.4,0,,,,,,,,,
T2025_08_12__152023_935,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_950,user,41,129,3,2.408,3.466,0.268,2,na,107,0,na,na,na,,,
T2025_08_12__152023_952,user,41,133,3,na,na,na,9053,-526,370,4170,na,na,na,na,na,na
T2025_08_12__152024_080,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_096,user,41,129,3,2.413,3.464,0.273,2,na,107,0,na,na,na,,,
T2025_08_12__152024_098,user,41,133,3,na,na,na,9060,-597,367,4171,na,na,na,na,na,na
T2025_08_12__152024_225,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_241,user,41,129,3,2.414,3.464,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152024_243,user,41,133,3,na,na,na,9053,-564,409,4173,na,na,na,na,na,na
T2025_08_12__152024_372,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_386,user,41,129,3,2.414,3.464,0.272,2,na,108,0,na,na,na,,,
T2025_08_12__152024_389,user,41,133,3,na,na,na,9048,-508,431,4175,na,na,na,na,na,na
T2025_08_12__152024_517,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_532,user,41,129,3,2.414,3.465,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152024_534,user,41,133,3,na,na,na,9066,-592,438,4179,na,na,na,na,na,na
T2025_08_12__152024_662,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_677,user,41,129,3,2.413,3.463,0.275,2,na,107,0,na,na,na,,,
T2025_08_12__152024_679,user,41,133,3,na,na,na,9052,-509,378,4173,na,na,na,na,na,na
T2025_08_12__152024_808,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_823,user,41,129,3,2.413,3.463,0.275,2,na,107,0,na,na,na,,,
T2025_08_12__152024_825,user,41,133,3,na,na,na,9067,-550,433,4181,na,na,na,na,na,na
T2025_08_12__152024_952,user,53,,,,,,,,,,,,,,,
T2025_08_12__152024_968,user,41,129,3,2.413,3.465,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152024_970,user,41,133,3,na,na,na,9059,-528,516,4182,na,na,na,na,na,na
T2025_08_12__152025_099,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_113,user,41,129,3,2.414,3.463,0.268,2,na,108,0,na,na,na,,,
T2025_08_12__152025_116,user,41,133,3,na,na,na,9063,-577,453,4178,na,na,na,na,na,na
T2025_08_12__152025_244,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_259,user,41,129,3,2.418,3.458,0.275,2,na,107,0,na,na,na,,,
T2025_08_12__152025_261,user,41,133,3,na,na,na,9062,-589,445,4177,na,na,na,na,na,na
T2025_08_12__152025_389,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_404,user,41,129,3,2.417,3.459,0.275,2,na,107,0,na,na,na,,,
T2025_08_12__152025_407,user,41,133,3,na,na,na,9054,-481,497,4181,na,na,na,na,na,na
T2025_08_12__152025_535,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_550,user,41,129,3,2.413,3.464,0.273,2,na,107,0,na,na,na,,,
T2025_08_12__152025_552,user,41,133,3,na,na,na,9060,-534,490,4179,na,na,na,na,na,na
T2025_08_12__152025_680,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_695,user,41,129,3,2.411,3.464,0.268,2,na,107,0,na,na,na,,,
T2025_08_12__152025_697,user,41,133,3,na,na,na,9056,-565,382,4169,na,na,na,na,na,na
T2025_08_12__152025_826,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_840,user,41,129,3,2.412,3.465,0.275,2,na,108,0,na,na,na,,,
T2025_08_12__152025_843,user,41,133,3,na,na,na,9055,-454,472,4180,na,na,na,na,na,na
T2025_08_12__152025_971,user,53,,,,,,,,,,,,,,,
T2025_08_12__152025_986,user,41,129,3,2.41,3.465,0.27,2,na,107,0,na,na,na,,,
T2025_08_12__152025_988,user,41,133,3,na,na,na,9064,-588,442,4174,na,na,na,na,na,na
